		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
		(14.110)	(27.090)	(0.070)	(8.003)	(24.154)	(0.063)	(7.012)	(15.949)	(0.002)
		[0.887]	[0.142]	[0.308]	[0.577]	[0.584]	[0.027]	[0.699]	[0.294]	[0.000]
typsoil1	Clay soil (dummy)	29.747	35.638	0.007	5.276	2.513	-0.397*	-3.748	-184.403**	-0.008
		(32.359)	(84.400)	(0.218)	(18.778)	(79.547)	(0.207)	(21.723)	(73.064)	(0.010)
		[0.358]	[0.673]	[0.974]	[0.779]	[0.975]	[0.056]	[0.863]	[0.012]	[0.413]
typsoil2	Sandy-clay soil (dummy)	7.325	13.669	0.064	-0.860	-88.687	0.115	-6.272	-93.552*	-0.000
		(26.595)	(70.846)	(0.183)	(15.925)	(66.068)	(0.172)	(16.916)	(54.409)	(0.007)
		[0.783]	[0.847]	[0.727]	[0.957]	[0.179]	[0.502]	[0.711]	[0.086]	[0.971]
typsoil3	Silty soil (dummy)	59.965*	126.467	0.005	15.449	63.653	-0.091	-1.606	-90.246	-0.010
		(33.349)	(94.579)	(0.245)	(18.523)	(78.008)	(0.203)	(21.510)	(70.628)	(0.010)
		[0.072]	[0.181]	[0.985]	[0.404]	[0.415]	[0.653]	[0.940]	[0.201]	[0.305]
Constant	Constant	976.699***	-213.074	2.079	393.419***	959.988	-7.352	544.008***	-1,882.723*	0.992***
		(160.862)	(1,758.803)	(4.549)	(126.579)	(2,434.762)	(6.346)	(128.372)	(1,070.511)	(0.147)
		[0.000]	[0.904]	[0.648]	[0.002]	[0.693]	[0.247]	[0.000]	[0.079]	[0.000]
										
Observations		1,494	1,494	1,494	2,520	2,520	2,520	4,590	4,590	4,590
Number of id		498	498	498	840	840	840	1,530	1,530	1,530
District FE		YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES	YES	YES	YES
Standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
