		(1)	(2)	(3)	(4)	(5)	(6)
		[0.001]	[0.000]	[0.004]	[0.002]	[0.004]	[0.003]
gsize	Groundnut area (ha)	0.003	0.004	0.198***	0.204***	0.195***	0.201***
		(0.003)	(0.003)	(0.023)	(0.023)	(0.021)	(0.021)
		[0.410]	[0.282]	[0.000]	[0.000]	[0.000]	[0.000]
off_farm	Off-farm income (dummy)	-0.020	-0.021	-0.035	-0.044	-0.024	-0.032
		(0.014)	(0.014)	(0.098)	(0.098)	(0.090)	(0.090)
		[0.173]	[0.139]	[0.717]	[0.651]	[0.787]	[0.720]
dratio	Dependency ratio	0.002	0.002	0.013	0.016	0.012	0.015
		(0.003)	(0.003)	(0.022)	(0.022)	(0.020)	(0.020)
		[0.609]	[0.529]	[0.557]	[0.462]	[0.551]	[0.456]
typsoil1	Clay soil (dummy)	-0.016	-0.013	-0.160*	-0.129*	-0.154*	-0.125*
		(0.013)	(0.011)	(0.087)	(0.073)	(0.080)	(0.067)
		[0.203]	[0.227]	[0.066]	[0.077]	[0.055]	[0.063]
typsoil2	Sandy-clay soil (dummy)	0.006	0.006	0.052	0.039	0.048	0.036
		(0.010)	(0.009)	(0.068)	(0.059)	(0.063)	(0.054)
		[0.526]	[0.486]	[0.448]	[0.503]	[0.449]	[0.507]
typsoil3	Silty soil (dummy)	-0.004	0.001	-0.032	0.010	-0.032	0.007
		(0.013)	(0.011)	(0.086)	(0.073)	(0.079)	(0.067)
		[0.735]	[0.899]	[0.715]	[0.892]	[0.684]	[0.915]
Constant	Constant	0.700***	1.021***	5.500***	7.367***	4.331***	6.012***
		(0.183)	(0.076)	(1.242)	(0.521)	(1.142)	(0.478)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
							
Observations		8,604	8,604	8,604	8,604	8,604	8,604
R-squared		0.066		0.098		0.126	
Number of id		2,868	2,868	2,868	2,868	2,868	2,868
District FE		YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES
Standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
