		(1)	(2)	(3)	(4)	(5)	(6)
		[0.663]	[0.995]	[0.234]	[0.573]	[0.180]	[0.505]
creditn	Credit in kind for groundnut farming (dummy)	-0.044***	-0.026*	-0.046	-0.019	-0.022	-0.006
		(0.016)	(0.014)	(0.109)	(0.094)	(0.100)	(0.086)
		[0.007]	[0.060]	[0.674]	[0.835]	[0.827]	[0.946]
dmurbain	Distance to the nearest urban market (km)	-0.000	-0.001***	-0.003	-0.009***	-0.003	-0.008***
		(0.000)	(0.000)	(0.002)	(0.002)	(0.002)	(0.002)
		[0.154]	[0.000]	[0.101]	[0.000]	[0.100]	[0.000]
dmvillage	Distance the nearest village market (km)	-0.003***	-0.003***	-0.013**	-0.017***	-0.011*	-0.015***
		(0.001)	(0.001)	(0.006)	(0.005)	(0.006)	(0.005)
		[0.003]	[0.000]	[0.046]	[0.002]	[0.056]	[0.003]
crotation	Crop rotation (dummy)	-0.023**	-0.005	-0.144**	-0.016	-0.135**	-0.014
		(0.011)	(0.009)	(0.072)	(0.061)	(0.066)	(0.056)
		[0.030]	[0.544]	[0.046]	[0.790]	[0.043]	[0.798]
cmixt	Mixed Crops (dummy)	0.004	0.003	-0.063	-0.079	-0.066	-0.080*
		(0.009)	(0.007)	(0.061)	(0.050)	(0.056)	(0.046)
		[0.678]	[0.718]	[0.298]	[0.119]	[0.238]	[0.082]
nbrhoejour	Labor force (man.day)	0.002***	0.002***	0.027***	0.026***	0.026***	0.025***
		(0.001)	(0.001)	(0.005)	(0.004)	(0.004)	(0.004)
		[0.003]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
uprice	Unit selling price (USD/kg)	0.009	0.012	-0.134	-0.180	1.301***	1.249***
		(0.054)	(0.050)	(0.365)	(0.338)	(0.336)	(0.311)
		[0.873]	[0.803]	[0.714]	[0.596]	[0.000]	[0.000]
cseed_ha	Seed cost (USD/ha)	0.002***	0.002***	0.011***	0.010***	0.010***	0.009***
		(0.000)	(0.000)	(0.002)	(0.001)	(0.001)	(0.001)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
cfert_ha	Fertilizer cost (USD/ha)	0.000	0.000	0.001	0.001	0.001	0.001
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
		[0.726]	[0.590]	[0.210]	[0.145]	[0.223]	[0.152]
cpest_ha	Pesticide cost (USD/ha)	-0.001***	-0.001**	-0.005	-0.002	-0.004	-0.001
		(0.000)	(0.000)	(0.003)	(0.003)	(0.003)	(0.002)
		[0.004]	[0.015]	[0.107]	[0.514]	[0.136]	[0.641]
clabor_ha	Labor cost (USD/ha)	0.000***	0.000***	0.002***	0.002***	0.002***	0.002***
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
		[0.001]	[0.000]	[0.004]	[0.001]	[0.004]	[0.001]
gsize	Groundnut area (ha)	0.003	0.013***	0.198***	0.282***	0.195***	0.274***
		(0.003)	(0.003)	(0.023)	(0.019)	(0.021)	(0.017)
		[0.410]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
off_farm	Off-farm income (dummy)	-0.020	-0.027**	-0.035	-0.101	-0.024	-0.088
		(0.014)	(0.012)	(0.098)	(0.083)	(0.090)	(0.076)
		[0.174]	[0.026]	[0.722]	[0.219]	[0.793]	[0.247]
dratio	Dependency ratio	0.002	0.001	0.013	0.003	0.012	0.003
		(0.003)	(0.003)	(0.022)	(0.018)	(0.020)	(0.016)
		[0.608]	[0.722]	[0.557]	[0.854]	[0.551]	[0.867]
typsoil1	Clay soil (dummy)	-0.016	-0.012	-0.161*	-0.120	-0.155*	-0.116*
		(0.013)	(0.011)	(0.087)	(0.073)	(0.080)	(0.068)
		[0.200]	[0.272]	[0.064]	[0.103]	[0.053]	[0.086]
typsoil2	Sandy-clay soil (dummy)	0.006	0.006	0.052	0.036	0.048	0.032
		(0.010)	(0.009)	(0.068)	(0.059)	(0.063)	(0.054)
		[0.525]	[0.485]	[0.448]	[0.541]	[0.449]	[0.552]
typsoil3	Silty soil (dummy)	-0.004	0.002	-0.032	0.010	-0.033	0.007
		(0.013)	(0.011)	(0.087)	(0.073)	(0.080)	(0.067)
		[0.732]	[0.864]	[0.708]	[0.893]	[0.676]	[0.922]
Constant	Constant	0.455**	0.987***	4.382***	7.194***	3.379***	5.831***
		(0.191)	(0.053)	(1.295)	(0.361)	(1.191)	(0.331)
		[0.017]	[0.000]	[0.001]	[0.000]	[0.005]	[0.000]
							
Observations		8,604	8,604	8,604	8,604	8,604	8,604
Number of id		2,868	2,868	2,868	2,868	2,868	2,868
District FE		YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES
Standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
