		(1)	(2)	(3)	(4)	(5)	(6)
		[0.000]	[0.000]	[0.000]	[0.374]	[0.000]	0.000
off_farm	Off-farm income (dummy)	-30.255	-30.662	-27.066	-32.969	-96.324*	-94.894*
		(35.674)	(23.859)	(34.951)	(22.728)	(53.437)	(53.479)
		[0.396]	[0.199]	[0.439]	[0.147]	[0.071]	0.076
dratio	Dependency ratio	-8.979	0.101	-5.315	-2.550	-1.541	0.102
		(7.920)	(5.310)	(7.778)	(5.046)	(11.863)	(11.902)
		[0.257]	[0.985]	[0.494]	[0.613]	[0.897]	0.993
typsoil1	Clay soil (dummy)	-4.912	1.570	9.397	-8.783	-89.820*	-83.404*
		(31.625)	(21.198)	(31.052)	(20.148)	(47.372)	(47.514)
		[0.877]	[0.941]	[0.762]	[0.663]	[0.058]	0.079
typsoil2	Sandy-clay soil (dummy)	23.207	2.638	36.156	-6.730	-70.619*	-64.812*
		(24.851)	(16.644)	(24.382)	(15.832)	(37.225)	(37.307)
		[0.350]	[0.874]	[0.138]	[0.671]	[0.058]	0.082
typsoil3	Silty soil (dummy)	38.862	17.234	37.540	18.191	-15.868	-16.460
		(31.470)	(21.050)	(30.837)	(20.049)	(47.139)	(47.184)
		[0.217]	[0.413]	[0.223]	[0.364]	[0.736]	0.727
improvsup	Area under adoption (ha)		240.044***	331.791***			148.786***
			(22.765)	(33.348)			(51.027)
			[0.000]	[0.000]			0.004
Constant	Constant	-644.945	743.725**	-415.941	578.046**	-1,294.580*	-1,191.887*
		(452.114)	(305.495)	(447.516)	(288.035)	(677.222)	(684.760)
		[0.154]	[0.015]	[0.353]	[0.045]	[0.056]	0.082
							
Observations		8,604	8,604	8,604	8,604	8,604	8,604
Number of id		2,868	2,868	2,868	2,868	2,868	2,868
District FE		YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES
Standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
