		(1)	(2)	(3)	(4)	(5)	(6)
		[0.811]	[0.845]	[0.359]	[0.376]	[0.293]	[0.307]
creditn	Credit in kind for groundnut farming (dummy)	-0.048***	-0.047***	-0.090	-0.080	-0.064	-0.056
		(0.016)	(0.016)	(0.111)	(0.111)	(0.102)	(0.103)
		[0.003]	[0.004]	[0.418]	[0.470]	[0.529]	[0.587]
dmurbain	Distance to the nearest urban market (km)	-0.000	-0.001***	-0.003	-0.009***	-0.003	-0.008***
		(0.000)	(0.000)	(0.002)	(0.002)	(0.002)	(0.002)
		[0.182]	[0.000]	[0.131]	[0.000]	[0.131]	[0.000]
dmvillage	Distance the nearest village market (km)	-0.003***	-0.003***	-0.012*	-0.016***	-0.010*	-0.015***
		(0.001)	(0.001)	(0.006)	(0.005)	(0.006)	(0.005)
		[0.004]	[0.000]	[0.065]	[0.002]	[0.078]	[0.003]
crotation	Crop rotation (dummy)	-0.020*	-0.019*	-0.114	-0.101	-0.106	-0.093
		(0.011)	(0.011)	(0.074)	(0.074)	(0.068)	(0.068)
		[0.068]	[0.080]	[0.123]	[0.171]	[0.122]	[0.170]
cmixt	Mixed Crops (dummy)	0.005	0.002	-0.049	-0.068	-0.052	-0.069
		(0.009)	(0.009)	(0.061)	(0.061)	(0.056)	(0.056)
		[0.563]	[0.837]	[0.422]	[0.268]	[0.352]	[0.219]
nbrhoejour	Labor force (man.day)	0.002***	0.002***	0.028***	0.028***	0.027***	0.027***
		(0.001)	(0.001)	(0.005)	(0.005)	(0.004)	(0.004)
		[0.002]	[0.002]	[0.000]	[0.000]	[0.000]	[0.000]
uprice	Unit selling price (USD/kg)	0.017	0.037	-0.055	0.045	1.376***	1.469***
		(0.052)	(0.050)	(0.355)	(0.337)	(0.326)	(0.310)
		[0.744]	[0.449]	[0.876]	[0.895]	[0.000]	[0.000]
cseed_ha	Seed cost (USD/ha)	0.002***	0.002***	0.011***	0.011***	0.010***	0.010***
		(0.000)	(0.000)	(0.002)	(0.002)	(0.001)	(0.001)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
cfert_ha	Fertilizer cost (USD/ha)	0.000	0.000	0.002*	0.002*	0.002*	0.002*
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
		[0.437]	[0.365]	[0.067]	[0.061]	[0.068]	[0.063]
cpest_ha	Pesticide cost (USD/ha)	-0.001***	-0.001***	-0.006**	-0.007**	-0.006**	-0.006**
		(0.000)	(0.000)	(0.003)	(0.003)	(0.003)	(0.003)
		[0.002]	[0.001]	[0.038]	[0.018]	[0.047]	[0.023]
clabor_ha	Labor cost (USD/ha)	0.000***	0.000***	0.002***	0.003***	0.002***	0.002***
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
		[0.000]	[0.000]	[0.002]	[0.001]	[0.002]	[0.001]
gsize	Groundnut area (ha)	-0.009*	-0.006	0.085**	0.103***	0.087***	0.103***
		(0.005)	(0.005)	(0.035)	(0.034)	(0.033)	(0.031)
		[0.073]	[0.221]	[0.016]	[0.002]	[0.008]	[0.001]
off_farm	Off-farm income (dummy)	-0.019	-0.021	-0.031	-0.043	-0.020	-0.031
		(0.015)	(0.015)	(0.099)	(0.099)	(0.091)	(0.091)
		[0.186]	[0.143]	[0.755]	[0.661]	[0.827]	[0.730]
dratio	Dependency ratio	0.002	0.002	0.017	0.020	0.016	0.019
		(0.003)	(0.003)	(0.022)	(0.022)	(0.020)	(0.020)
		[0.509]	[0.457]	[0.430]	[0.365]	[0.420]	[0.355]
typsoil1	Clay soil (dummy)	-0.015	-0.010	-0.143	-0.102	-0.138*	-0.098
		(0.013)	(0.011)	(0.088)	(0.074)	(0.081)	(0.068)
		[0.260]	[0.345]	[0.103]	[0.171]	[0.088]	[0.151]
typsoil2	Sandy-clay soil (dummy)	0.008	0.008	0.068	0.060	0.063	0.056
		(0.010)	(0.009)	(0.069)	(0.059)	(0.064)	(0.055)
		[0.422]	[0.354]	[0.324]	[0.310]	[0.320]	[0.305]
typsoil3	Silty soil (dummy)	-0.005	0.002	-0.034	0.012	-0.035	0.009
		(0.013)	(0.011)	(0.087)	(0.074)	(0.080)	(0.068)
		[0.723]	[0.882]	[0.696]	[0.872]	[0.665]	[0.894]
Constant	Constant	0.817***	1.032***	7.214***	7.482***	5.972***	6.123***
		(0.183)	(0.078)	(1.248)	(0.534)	(1.148)	(0.490)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
							
Observations		8,604	8,604	8,604	8,604	8,604	8,604
Number of id		2,868	2,868	2,868	2,868	2,868	2,868
District FE		YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES
Standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
